Time,Device_ID,Type,Mine_N,Mine_E,Altitude,Status
31/08/2023 16:00,010,LANDMOS,4902.397,-4674.554,438.432,3
01/09/2023 20:00,006,LANDMOS,5485.068,-5178.865,487.344,0
31/08/2023 16:15,003,LANDMOS,1611.308,-5261.433,464.943,0
31/08/2023 16:15,001,LANDMOS,706.631,-5172.017,476.985,0
31/08/2023 16:15,004,LANDMOS,1225.302,-5030.799,444.578,0
31/08/2023 16:15,002,LANDMOS,5275.361,-5424.429,484.821,0
31/08/2023 16:15,007,LANDMOS,4830.307,-5535.134,483.411,0
31/08/2023 16:15,006,LANDMOS,5485.057,-5178.898,487.310,0
31/08/2023 16:15,008,LANDMOS,3349.255,-951.738,213.677,4
31/08/2023 16:15,005,LANDMOS,5054.183,-5250.507,474.123,0
31/08/2023 16:15,010,LANDMOS,4902.398,-4674.550,438.421,3
31/08/2023 16:15,009,LANDMOS,244.677,1101.569,362.444,0
01/09/2023 20:00,007,LANDMOS,4830.315,-5535.112,483.448,0
31/08/2023 16:30,003,LANDMOS,1611.308,-5261.432,464.941,0
31/08/2023 16:30,001,LANDMOS,706.635,-5172.025,476.985,0
31/08/2023 16:30,005,LANDMOS,5054.185,-5250.513,474.120,0
